Object	Object type	Related Gene	Topological rank	Relevance rank	Expression rank
immunoglobulin lambda variable 11-55 [Homo sapiens]	Protein	IGLV11-55	13	0	0
immunoglobulin lambda variable 2-23 [Homo sapiens]	Protein	IGLV2-23	13	0	0.422947375
immunoglobulin lambda variable 3-25 [Homo sapiens]	Protein	IGLV3-25	14	0	0
immunoglobulin lambda variable 3-27 [Homo sapiens]	Protein	IGLV3-27	13	0	0
immunoglobulin lambda variable 4-69 [Homo sapiens]	Protein	IGLV4-69	13	0	0
immunoglobulin lambda constant 2 (Kern-Oz- marker) [Homo sapiens]	Protein	IGLC2	22	0	0
immunoglobulin lambda variable 6-57 [Homo sapiens]	Protein	IGLV6-57	13	0	1.11294297
immunoglobulin lambda variable 2-14 [Homo sapiens]	Protein	IGLV2-14	13	0	0
glyceronephosphate O-acyltransferase [Homo sapiens]	Protein	GNPAT	5	1	1.083167994
mannan-binding lectin serine protease 2 isoform 1 precursor [Homo sapiens]	Protein	MASP2	8	1	1.400067085
O84760_CHLTR	Protein		2	0	0
myeloid differentiation primary response gene (88) [Homo sapiens]	Protein	MYD88	29	2	0.792068738
toll-like receptor adaptor molecule 2 [Homo sapiens]	Protein	TICAM2	36	0	0
TIR domain containing adaptor inducing interferon-beta isoform 1 [Homo sapiens]	Protein	TICAM1	15	0	1.041231082
interleukin-1 receptor-associated kinase 4 [Homo sapiens]	Protein	IRAK4	23	1	0.575465766
GDP dissociation inhibitor 1 [Homo sapiens]	Protein	GDI1	24	2	1.056698021
GDP dissociation inhibitor 2 [Homo sapiens]	Protein	GDI2	41	2	1.046845455
Rho GDP dissociation inhibitor (GDI) gamma [Homo sapiens]	Protein	ARHGDIG	20	1	1.030366451
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa [Homo sapiens]	Protein	NDUFA4	52	1	1.083073446
NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase) [Homo sapiens]	Protein	NDUFS4	50	1	1.074292291
NADH-ubiquinone oxidoreductase Fe-S protein 7 [Homo sapiens]	Protein	NDUFS7	52	2	1.120289602
NADH dehydrogenase (ubiquinone) Fe-S protein 6, 13kDa (NADH-coenzyme Q reductase) [Homo sapiens]	Protein	NDUFS6	52	1	1.096007439
mitochondrially encoded NADH dehydrogenase 4L [Homo sapiens]	Protein	MT-ND4L	48	0	0
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa [Homo sapiens]	Protein	NDUFA8	51	2	1.123257633
NADH-ubiquinone oxidoreductase flavoprotein 3 isoform b precursor [Homo sapiens]	Protein	NDUFV3	51	1	0.824641833
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 11, 14.7kDa [Homo sapiens]	Protein	NDUFA11	48	0	0.69268222
NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 11, 17.3kDa [Homo sapiens]	Protein	NDUFB11	50	0	1.096809131
proteasome 26S non-ATPase subunit 12 isoform 1 [Homo sapiens]	Protein	PSMD12	48	1	1.092689367
proteasome activator subunit 3 isoform 1 [Homo sapiens]	Protein	PSME3	69	1	1.051377138
proteasome activator subunit 1 isoform 1 [Homo sapiens]	Protein	PSME1	53	0	0.979658794
proteasome inhibitor subunit 1 isoform 1 [Homo sapiens]	Protein	PSMF1	43	1	1.113550572
proteasome activator subunit 2 [Homo sapiens]	Protein	PSME2	45	0	1.015528384
proteasome 26S non-ATPase subunit 13 isoform 1 [Homo sapiens]	Protein	PSMD13	53	1	1.063302723
proteasome 26S non-ATPase subunit 11 [Homo sapiens]	Protein	PSMD11	73	1	1.089171077
proteasome 26S non-ATPase subunit 10 isoform 1 [Homo sapiens]	Protein	PSMD10	61	2	1.034835462
TAT_HV112	Protein		36	0	0
TAT_HV2RO	Protein		36	0	0
TAT_HV1B1	Protein		36	0	0
TAT_HV1H2	Protein		69	0	0
TAT_HV1Z6	Protein		36	0	0
TAT_HV1BR	Protein		36	0	0
TAT_HV1EL	Protein		36	0	0
TAT_HV1B5	Protein		36	0	0
TAT_HV1MA	Protein		36	0	0
TAT_HV1A2	Protein		39	0	0
TAT_HV1MN	Protein		36	0	0
TAT_HV1SC	Protein		36	0	0
TAT_HV1C4	Protein		36	0	0
TAT_HV1RH	Protein		36	0	0
TAT_HV2NZ	Protein		36	0	0
TAT_HV1Z3	Protein		36	0	0
TAT_HV1Z8	Protein		36	0	0
TAT_HV1ZH	Protein		36	0	0
TAT_HV1S3	Protein		36	0	0
TAT_HV1S1	Protein		36	0	0
TAT_HV1JR	Protein		36	0	0
TAT_HV1OY	Protein		36	0	0
TAT_HV1U4	Protein		36	0	0
TAT_HV1Y2	Protein		36	0	0
TAT_HV1H3	Protein		36	0	0
chromatin-specific transcription elongation factor large subunit [Homo sapiens]	Protein	SUPT16H	70	1	0.953535982
CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1 isoform FCP1b [Homo sapiens]	Protein	CTDP1	50	1	0.806270742
general transcription factor IIF, polypeptide 2 (30kD subunit) [Homo sapiens]	Protein	GTF2F2	196	1	1.168426824
excision repair cross-complementing rodent repair deficiency, complementation group 2 protein [Homo sapiens]	Protein	ERCC2	120	1	0.972498369
excision repair cross-complementing rodent repair deficiency, complementation group 3 [Homo sapiens]	Protein	ERCC3	124	1	0.897571036
general transcription factor IIE, polypeptide 1 (alpha subunit, 56kD) [Homo sapiens]	Protein	GTF2E1	46	1	1.090328848
general transcription factor IIE, polypeptide 2, beta 34kDa [Homo sapiens]	Protein	GTF2E2	49	2	0.751095333
general transcription factor IIH, polypeptide 1 (62kD subunit) [Homo sapiens]	Protein	GTF2H1	123	0	1.035766356
general transcription factor IIF, polypeptide 1, 74kDa [Homo sapiens]	Protein	GTF2F1	191	1	0.870347718
TBP-associated factor 6 isoform alpha [Homo sapiens]	Protein	TAF6	44	0	0.913671999
cyclin-dependent kinase 7 [Homo sapiens]	Protein	CDK7	119	1	1.013291253
cyclin H [Homo sapiens]	Protein	CCNH	125	1	1.001706017
menage a trois 1 (CAK assembly factor) [Homo sapiens]	Protein	MNAT1	135	1	1.392597285
general transcription factor IIB [Homo sapiens]	Protein	GTF2B	43	1	0.982241727
TBP-related factor 10 [Homo sapiens]	Protein	TAF10	45	0	1.045054991
general transcription factor IIH, polypeptide 2, 44kD subunit [Homo sapiens]	Protein	GTF2H2	114	1	0.321270233
general transcription factor IIH, polypeptide 3, 34kDa [Homo sapiens]	Protein	GTF2H3	112	2	0.846529043
TBP-associated factor 5 [Homo sapiens]	Protein	TAF5	43	0	0.963839206
TBP-associated factor 13 [Homo sapiens]	Protein	TAF13	44	0	2.187792031
TBP-associated factor 11 [Homo sapiens]	Protein	TAF11	47	0	0.947641266
TATA box-binding protein-associated factor 2F [Homo sapiens]	Protein	TAF7	44	2	1.05727196
TAF9 RNA polymerase II isoform c [Homo sapiens]	Protein	TAF9	55	0	1.073471099
TAF4b RNA polymerase II, TATA box binding protein (TBP)-associated factor, 105kDa [Homo sapiens]	Protein	TAF4B	43	0	0.950270901
general transcription factor IIH, polypeptide 4, 52kDa [Homo sapiens]	Protein	GTF2H4	113	1	0.764587613
eukaryotic translation initiation factor 3 subunit 7 [Homo sapiens]	Protein	EIF3S7	66	2	1.034188515
eukaryotic translation initiation factor 3, subunit 3 gamma, 40kDa [Homo sapiens]	Protein	EIF3S3	113	1	1.022254809
X-linked eukaryotic translation initiation factor 1A [Homo sapiens]	Protein	EIF1AX	65	1	1.096697
eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa [Homo sapiens]	Protein	EIF3S9	60	2	1.032703682
eukaryotic translation initiation factor 3, subunit 6 48kDa [Homo sapiens]	Protein	EIF3S6	85	2	1.058145643
eukaryotic translation initiation factor 4A, isoform 1 [Homo sapiens]	Protein	EIF4A1	74	2	0.961047776
eukaryotic translation initiation factor 4 gamma, 1 isoform 4 [Homo sapiens]	Protein	EIF4G1	81	2	1.090204056
eukaryotic translation initiation factor 3, subunit 10 theta, 150/170kDa [Homo sapiens]	Protein	EIF3S10	75	3	1.047563262
eukaryotic translation initiation factor 4A isoform 2 [Homo sapiens]	Protein	EIF4A2	62	1	1.061511851
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	Protein	NCBP2	195	1	1.002731837
eukaryotic translation initiation factor 3, subunit 8, 110kDa [Homo sapiens]	Protein	EIF3S8	65	0	0.607628213
eukaryotic translation initiation factor 3, subunit 12 [Homo sapiens]	Protein	EIF3S12	69	2	1.067993848
origin recognition complex subunit 5 isoform 1 [Homo sapiens]	Protein	ORC5L	42	0	0.974350301
origin recognition complex subunit 4 [Homo sapiens]	Protein	ORC4L	39	1	0.967476528
CDC45-like [Homo sapiens]	Protein	CDC45L	41	0	0.494349438
replication protein A2, 32kDa [Homo sapiens]	Protein	RPA2	97	1	1.00278671
minichromosome maintenance protein 3 [Homo sapiens]	Protein	MCM3	63	1	0.89276416
minichromosome maintenance protein 4 [Homo sapiens]	Protein	MCM4	40	1	0.883888561
minichromosome maintenance deficient protein 5 [Homo sapiens]	Protein	MCM5	45	1	0.707927572
replication protein A3, 14kDa [Homo sapiens]	Protein	RPA3	68	0	0.973217759
minichromosome maintenance protein 2 [Homo sapiens]	Protein	MCM2	75	1	0.940483881
replication protein A4, 34kDa [Homo sapiens]	Protein	RPA4	24	1	1.071516776
origin recognition complex, subunit 1 [Homo sapiens]	Protein	ORC1L	46	0	0.553111987
origin recognition complex, subunit 2 [Homo sapiens]	Protein	ORC2L	44	0	0.898071932
minichromosome maintenance protein 6 [Homo sapiens]	Protein	MCM6	53	1	0.861376606
CDC6 homolog [Homo sapiens]	Protein	CDC6	51	0	0.533382124
minichromosome maintenance protein 10 isoform 1 [Homo sapiens]	Protein	MCM10	77	1	0.627552215
claspin [Homo sapiens]	Protein	CLSPN	25	2	0.952657983
origin recognition complex, subunit 3 isoform 2 [Homo sapiens]	Protein	ORC3L	39	0	1.091578081
DBF4 homolog (S. cerevisiae) [Homo sapiens]	Protein	DBF4	28	1	0.502257167
activator of S phase kinase [Homo sapiens]	Protein	DBF4	28	1	0.502257167
minichromosome maintenance protein 8 isoform 2 [Homo sapiens]	Protein	MCM8	28	0	0.725976107
origin recognition complex subunit 6 [Homo sapiens]	Protein	ORC6L	36	0	0.835954067
transcription factor A, mitochondrial [Homo sapiens]	Protein	TFAM	7	0	0.987188671
transcription factor B2, mitochondrial [Homo sapiens]	Protein	TFB2M	4	1	1.101899413
proteasome 26S non-ATPase subunit 9 [Homo sapiens]	Protein	PSMD9	42	1	0.925999123
proteasome alpha 7 subunit [Homo sapiens]	Protein	PSMA7	59	1	1.08439135
proteasome 26S ATPase subunit 5 [Homo sapiens]	Protein	PSMC5	54	2	1.070268741
proteasome 26S non-ATPase subunit 3 [Homo sapiens]	Protein	PSMD3	58	3	1.066022329
proteasome 26S ATPase subunit 3 [Homo sapiens]	Protein	PSMC3	62	2	1.08652318
proteasome beta 1 subunit [Homo sapiens]	Protein	PSMB1	66	3	1.038739366
proteasome alpha 1 subunit isoform 2 [Homo sapiens]	Protein	PSMA1	79	2	1.065899268
proteasome alpha 2 subunit [Homo sapiens]	Protein	PSMA2	63	1	1.059327683
proteasome alpha 3 subunit isoform 1 [Homo sapiens]	Protein	PSMA3	69	2	1.099988615
proteasome alpha 4 subunit [Homo sapiens]	Protein	PSMA4	50	1	1.058033805
proteasome beta 8 subunit isoform E1 proprotein [Homo sapiens]	Protein	PSMB8	45	1	0.663605826
proteasome beta 9 subunit isoform 1 proprotein [Homo sapiens]	Protein	PSMB9	42	1	0.917919377
proteasome alpha 5 subunit [Homo sapiens]	Protein	PSMA5	46	1	1.06732235
proteasome beta 4 subunit [Homo sapiens]	Protein	PSMB4	52	3	1.034452215
proteasome beta 6 subunit [Homo sapiens]	Protein	PSMB6	49	2	1.083878472
proteasome beta 5 subunit [Homo sapiens]	Protein	PSMB5	55	1	1.109727589
proteasome 26S ATPase subunit 2 [Homo sapiens]	Protein	PSMC2	57	2	1.105152008
proteasome beta 10 subunit proprotein [Homo sapiens]	Protein	PSMB10	46	1	0.970091317
proteasome 26S ATPase subunit 4 isoform 1 [Homo sapiens]	Protein	PSMC4	61	3	1.033560616
proteasome 26S non-ATPase subunit 8 [Homo sapiens]	Protein	PSMD8	48	2	1.091138398
proteasome beta 3 subunit [Homo sapiens]	Protein	PSMB3	60	1	1.033646225
proteasome beta 2 subunit [Homo sapiens]	Protein	PSMB2	45	1	1.078379342
proteasome 26S non-ATPase subunit 7 [Homo sapiens]	Protein	PSMD7	49	1	1.09374885
proteasome 26S non-ATPase subunit 4 isoform 1 [Homo sapiens]	Protein	PSMD4	50	3	1.077200438
proteasome alpha 6 subunit [Homo sapiens]	Protein	PSMA6	65	2	1.061837842
proteasome 26S ATPase subunit 1 [Homo sapiens]	Protein	PSMC1	58	1	1.064061677
proteasome 26S ATPase subunit 6 [Homo sapiens]	Protein	PSMC6	57	2	1.051417348
proteasome 26S non-ATPase subunit 2 [Homo sapiens]	Protein	PSMD2	67	2	1.065308856
proteasome (prosome, macropain) 26S subunit, non-ATPase, 6 [Homo sapiens]	Protein	PSMD6	87	2	1.064932155
proteasome 26S non-ATPase subunit 5 [Homo sapiens]	Protein	PSMD5	44	2	1.13351516
proteasome beta 7 subunit proprotein [Homo sapiens]	Protein	PSMB7	53	2	1.077210281
proteasome 26S non-ATPase subunit 1 [Homo sapiens]	Protein	PSMD1	58	1	1.078684027
notch 2 preproprotein [Homo sapiens]	Protein	NOTCH2	14	4	0.993460175
transcription factor Dp-1 [Homo sapiens]	Protein	TFDP1	7	1	1.051658011
cell division cycle 2 protein isoform 1 [Homo sapiens]	Protein	CDC2	101	1	0.577234612
cyclin A [Homo sapiens]	Protein	CCNA2	109	2	0.687141721
cyclin-dependent kinase 6 [Homo sapiens]	Protein	CDK6	59	2	1.009063715
ubiquitin and ribosomal protein S27a precursor [Homo sapiens]	Protein	RPS27A	214	0	1.063291838
ubiquitin and ribosomal protein L40 precursor [Homo sapiens]	Protein	UBA52	190	1	1.051745654
ubiquitin B precursor [Homo sapiens]	Protein	UBB	128	0	1.059831136
cell division cycle 20 [Homo sapiens]	Protein	CDC20	55	1	0.750555463
CDC16 homolog [Homo sapiens]	Protein	CDC16	37	1	1.065894122
CDC26 subunit of anaphase promoting complex [Homo sapiens]	Protein	CDC26	30	0	0.748340593
anaphase promoting complex subunit 1 [Homo sapiens]	Protein	ANAPC1	32	2	0.985379398
cell division cycle protein 23 [Homo sapiens]	Protein	CDC23	34	1	0.973013168
anaphase-promoting complex subunit 7 [Homo sapiens]	Protein	ANAPC7	30	1	0.580914899
anaphase-promoting complex subunit 5 [Homo sapiens]	Protein	ANAPC5	40	0	1.036422262
anaphase-promoting complex subunit 4 [Homo sapiens]	Protein	ANAPC4	31	1	0.655203769
anaphase-promoting complex subunit 2 [Homo sapiens]	Protein	ANAPC2	36	1	0.77824362
Fzr1 protein [Homo sapiens]	Protein	FZR1	38	1	0.941001824
anaphase promoting complex subunit 10 [Homo sapiens]	Protein	ANAPC10	32	2	1.016093303
dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex) [Homo sapiens]	Protein	DLST	135	1	1.170983172
serine/arginine repetitive matrix 1 [Homo sapiens]	Protein	SRRM1	120	0	1.047432198
RNA-binding protein S1, serine-rich domain [Homo sapiens]	Protein	RNPS1	212	0	1.014861595
THO complex 4 [Homo sapiens]	Protein	THOC4	117	0	0.549319251
UPF3 regulator of nonsense transcripts homolog B isoform 1 [Homo sapiens]	Protein	UPF3B	118	0	0.916822365
mitochondrially encoded cytochrome c oxidase I [Homo sapiens]	Protein	MT-CO1	16	0	0.728240059
mitochondrially encoded cytochrome c oxidase II [Homo sapiens]	Protein	MT-CO2	16	0	0.735599046
mitochondrially encoded cytochrome c oxidase III [Homo sapiens]	Protein	MT-CO3	15	0	0.74410671
cytochrome c oxidase subunit VIc proprotein [Homo sapiens]	Protein	COX6C	16	1	1.079995193
cytochrome c oxidase subunit 8A [Homo sapiens]	Protein	COX8A	15	1	1.058676225
cytochrome c oxidase subunit Vb precursor [Homo sapiens]	Protein	COX5B	16	2	1.068112409
cytochrome c oxidase subunit VIa polypeptide 1 precursor [Homo sapiens]	Protein	COX6A1	15	1	0.808366748
cytochrome c oxidase subunit IV isoform 1 precursor [Homo sapiens]	Protein	COX4I1	17	2	1.062803429
cytochrome c oxidase subunit VIb [Homo sapiens]	Protein	COX6B1	15	2	1.080009086
cytochrome c oxidase subunit VIIc precursor [Homo sapiens]	Protein	COX7C	15	2	1.071022637
cytochrome c oxidase subunit Va precursor [Homo sapiens]	Protein	COX5A	20	1	1.090769271
cytochrome c oxidase subunit VIIb precursor [Homo sapiens]	Protein	COX7B	15	0	1.14263752
NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase) [Homo sapiens]	Protein	NDUFS8	50	2	1.106872226
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1 [Homo sapiens]	Protein	NDUFA1	51	1	1.085709707
NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa precursor [Homo sapiens]	Protein	NDUFB5	50	3	1.133940448
NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12kDa [Homo sapiens]	Protein	NDUFB3	51	1	1.11442495
NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kDa [Homo sapiens]	Protein	NDUFC1	50	1	1.115332968
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa [Homo sapiens]	Protein	NDUFA2	50	1	1.073980109
NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase) [Homo sapiens]	Protein	NDUFS5	50	1	0.377135083
NADH dehydrogenase (ubiquinone) Fe-S protein 2, 49kDa (NADH-coenzyme Q reductase) [Homo sapiens]	Protein	NDUFS2	54	2	1.087018488
NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa [Homo sapiens]	Protein	NDUFB1	52	0	1.095264877
NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme Q reductase) [Homo sapiens]	Protein	NDUFS3	53	2	1.084526272
NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6, 17kDa isoform 1 [Homo sapiens]	Protein	NDUFB6	51	1	1.111834319
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa [Homo sapiens]	Protein	NDUFA3	50	1	1.083867756
NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa [Homo sapiens]	Protein	NDUFB4	50	2	1.081794028
NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19kDa [Homo sapiens]	Protein	NDUFB8	53	3	1.063411641
NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa precursor [Homo sapiens]	Protein	NDUFB2	50	1	1.093899359
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa [Homo sapiens]	Protein	NDUFA7	53	2	1.087482405
NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa [Homo sapiens]	Protein	NDUFC2	50	1	1.080650939
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa precursor [Homo sapiens]	Protein	NDUFA10	50	3	1.094107961
NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10, 22kDa [Homo sapiens]	Protein	NDUFB10	50	2	0.759720505
mitochondrially encoded NADH dehydrogenase 1 [Homo sapiens]	Protein	MT-ND1	49	1	0.378769774
mitochondrially encoded NADH dehydrogenase 2 [Homo sapiens]	Protein	MT-ND2	49	0	0.780534876
mitochondrially encoded NADH dehydrogenase 3 [Homo sapiens]	Protein	MT-ND3	48	0	0.383218137
mitochondrially encoded NADH dehydrogenase 4 [Homo sapiens]	Protein	MT-ND4	48	0	0.405545191
mitochondrially encoded NADH dehydrogenase 5 [Homo sapiens]	Protein	MT-ND5	48	0	0.439705154
mitochondrially encoded NADH dehydrogenase 6 [Homo sapiens]	Protein	MT-ND6	48	0	0.860410738
NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa [Homo sapiens]	Protein	NDUFB7	50	2	0.974331214
NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa [Homo sapiens]	Protein	NDUFV2	53	2	1.091999549
NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa precursor [Homo sapiens]	Protein	NDUFS1	54	3	1.232053544
NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa [Homo sapiens]	Protein	NDUFV1	51	2	1.108030188
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa [Homo sapiens]	Protein	NDUFA6	54	3	1.093864069
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5 [Homo sapiens]	Protein	NDUFA5	55	1	1.221308612
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9, 39kDa [Homo sapiens]	Protein	NDUFA9	54	2	1.084062645
cell death-regulatory protein GRIM19 [Homo sapiens]	Protein	NDUFA13	52	1	1.068674009
13kDa differentiation-associated protein [Homo sapiens]	Protein	NDUFA12	50	2	0.73853963
NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9, 22kDa [Homo sapiens]	Protein	NDUFB9	58	1	0.735233944
caspase 9 isoform alpha preproprotein [Homo sapiens]	Protein	CASP9	20	1	0.957923689
cytochrome c [Homo sapiens]	Protein	CYCS	47	2	1.089031369
tumor necrosis factor (ligand) superfamily, member 10 [Homo sapiens]	Protein	TNFSF10	19	2	0.877260305
small nuclear RNA activating complex, polypeptide 5 [Homo sapiens]	Protein	SNAPC5	25	0	1.082465632
zinc finger protein 143 (clone pHZ-1) [Homo sapiens]	Protein	ZNF143	22	1	0.909180236
DNA directed RNA polymerase II polypeptide K [Homo sapiens]	Protein	POLR2K	227	1	1.035746588
general transcription factor IIIC, polypeptide 1, alpha 220kDa [Homo sapiens]	Protein	GTF3C1	38	1	0.81607354
small nuclear RNA activating complex, polypeptide 2, 45kDa [Homo sapiens]	Protein	SNAPC2	22	0	0.954520323
small nuclear RNA activating complex, polypeptide 1, 43kDa [Homo sapiens]	Protein	SNAPC1	22	0	1.080528712
general transcription factor IIIC, polypeptide 2, beta 110kDa [Homo sapiens]	Protein	GTF3C2	23	0	1.025220728
general transcription factor IIIA [Homo sapiens]	Protein	GTF3A	23	0	1.068585242
small nuclear RNA activating complex, polypeptide 3, 50kDa [Homo sapiens]	Protein	SNAPC3	22	0	1.232549445
DNA-directed RNA polymerase III 39 kDa polypeptide F [Homo sapiens]	Protein	POLR3F	44	1	1.100972821
